simulation,model_type,overall_r2,overall_rmse,overall_mae,obs_zeros,pred_zeros,obs_ones,pred_ones,continuous_r2,continuous_rmse
36,exponential,0.254950119,0.095183251,0.052445381,0.297,0.297953125,0.004,0.004914875,0.632455936,0.062106239
36,gaussian,-0.015156951,0.111105218,0.065887551,0.297,0.297359844,0.004,0.004925906,0.27007846,0.087522279
36,power_law,0.312372614,0.091441731,0.047377806,0.297,0.297832563,0.004,0.00488875,0.608483932,0.0640996
37,exponential,0.278135401,0.099768746,0.053211396,0.284,0.284677813,0.005,0.005897781,0.663945395,0.061646978
37,gaussian,0.037478381,0.115205149,0.068029963,0.284,0.284648219,0.005,0.005897094,0.298205016,0.08908652
37,power_law,0.322415206,0.096660373,0.04882958,0.284,0.2849125,0.005,0.005879531,0.641716498,0.063653204
38,exponential,0.296427574,0.106546689,0.057389341,0.288,0.289223906,0.008,0.008828844,0.6365518,0.063343262
38,gaussian,0.134413152,0.118179155,0.069243338,0.288,0.2893605,0.008,0.008828219,0.26482041,0.090089855
38,power_law,0.314600298,0.105161679,0.051564156,0.288,0.289338813,0.008,0.008820125,0.629703795,0.063937227
39,exponential,0.14382936,0.12730021,0.067579124,0.283,0.28321925,0.012,0.012833188,0.572760654,0.065719835
39,gaussian,-0.004914787,0.137915657,0.076219703,0.283,0.283182094,0.012,0.012830406,0.219513056,0.088826728
39,power_law,0.196633833,0.123312109,0.060195042,0.283,0.283650844,0.012,0.012794344,0.596762227,0.06384714
40,exponential,0.107884347,0.115134906,0.064315684,0.27,0.269971563,0.008,0.0088665,0.548617569,0.064584969
40,gaussian,0.009971939,0.121288655,0.069627463,0.27,0.270678719,0.008,0.008851406,0.134560797,0.089428802
40,power_law,0.20317797,0.108812076,0.054584856,0.27,0.270580625,0.008,0.008894438,0.577468753,0.062486838
41,exponential,0.246714216,0.107529581,0.057523218,0.264,0.265471906,0.007,0.007863875,0.610730521,0.065076487
41,gaussian,-0.034761244,0.12602832,0.074266238,0.264,0.264699406,0.007,0.007887688,0.179216354,0.094495967
41,power_law,0.300644539,0.103608898,0.052172397,0.264,0.265542031,0.007,0.007877438,0.607548764,0.065341902
42,exponential,0.208524168,0.103606387,0.059380231,0.284,0.284188094,0.005,0.005882219,0.616293898,0.064983646
42,gaussian,-0.059793361,0.119888713,0.071568325,0.284,0.28385225,0.005,0.00590875,0.224772362,0.092367533
42,power_law,0.279877332,0.098825937,0.052128766,0.284,0.284782063,0.005,0.005891,0.589248961,0.067234791
43,exponential,0.155684506,0.109986814,0.058017667,0.289,0.288277531,0.007,0.007860281,0.656414282,0.058168072
43,gaussian,-0.084013919,0.124625143,0.069815192,0.289,0.288306344,0.007,0.007868844,0.282831335,0.084038398
43,power_law,0.234289827,0.1047419,0.05206632,0.289,0.288838906,0.007,0.007850125,0.642418653,0.059340957
44,exponential,0.1490523,0.111110578,0.060662336,0.275,0.275638031,0.007,0.007925469,0.568550674,0.065407334
44,gaussian,-0.059776191,0.123996963,0.070763184,0.275,0.275236156,0.007,0.007884344,0.170332472,0.090701318
44,power_law,0.2461644,0.104578472,0.052267763,0.275,0.275747219,0.007,0.00788625,0.60570085,0.06252799
45,exponential,0.243160857,0.098461972,0.055109448,0.291,0.292100594,0.005,0.005879906,0.630030081,0.060915771
45,gaussian,-0.006168085,0.113527743,0.0659463,0.291,0.291254469,0.005,0.005902438,0.276966674,0.085158047
45,power_law,0.306663244,0.094240775,0.048970237,0.291,0.292205469,0.005,0.005899969,0.615320883,0.062114907
46,exponential,0.133891076,0.119562041,0.062930297,0.281,0.28136275,0.009,0.009878219,0.564975626,0.067234794
