Parameter 1,Parameter 2,Pearson r,p-value,Significant,Strength,Direction,abs_r
fz2,exponent2,-0.140,0.1653,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.14
scale2,exponent1,-0.139,0.1688,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.139
fx2,exponent1,-0.133,0.1872,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.133
fz1,pi0,0.132,0.1910,NO,NEGLIGIBLE,POSITIVE (coupled),0.132
fy1,scale2,-0.120,0.2359,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.12
fy1,fz2,0.111,0.2725,NO,NEGLIGIBLE,POSITIVE (coupled),0.111
fz2,scale1,-0.107,0.2875,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.107
fx1,exponent2,-0.104,0.3033,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.104
fy2,pi0,-0.097,0.3364,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.097
pi0,q_param,0.093,0.3596,NO,NEGLIGIBLE,POSITIVE (coupled),0.093
fx1,phi,-0.088,0.3835,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.088
weight,phi,-0.088,0.3858,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.088
fz2,pi0,0.087,0.3873,NO,NEGLIGIBLE,POSITIVE (coupled),0.087
weight,pi0,0.081,0.4217,NO,NEGLIGIBLE,POSITIVE (coupled),0.081
fy2,phi,-0.079,0.4318,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.079
pi0,exponent2,-0.079,0.4360,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.079
phi,pi0,-0.079,0.4354,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.079
scale1,pi0,-0.078,0.4389,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.078
fx1,q_param,0.077,0.4457,NO,NEGLIGIBLE,POSITIVE (coupled),0.077
phi,exponent2,0.071,0.4805,NO,NEGLIGIBLE,POSITIVE (coupled),0.071
fx1,fy2,0.069,0.4943,NO,NEGLIGIBLE,POSITIVE (coupled),0.069
fy1,exponent2,-0.069,0.4966,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.069
scale2,pi0,-0.067,0.5085,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.067
fx2,scale1,-0.065,0.5207,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.065
fy1,weight,-0.064,0.5283,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.064
fy1,q_param,-0.063,0.5316,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.063
fy2,weight,-0.062,0.5384,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.062
fy2,fz1,0.057,0.5740,NO,NEGLIGIBLE,POSITIVE (coupled),0.057
pi0,exponent1,-0.046,0.6523,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.046
phi,exponent1,0.045,0.6591,NO,NEGLIGIBLE,POSITIVE (coupled),0.045
fy2,fz2,-0.043,0.6695,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.043
scale2,q_param,-0.039,0.6989,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.039
scale1,q_param,0.038,0.7048,NO,NEGLIGIBLE,POSITIVE (coupled),0.038
fx2,q_param,-0.038,0.7044,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.038
scale1,scale2,-0.031,0.7579,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.031
fx2,phi,0.031,0.7561,NO,NEGLIGIBLE,POSITIVE (coupled),0.031
fx1,scale2,0.030,0.7636,NO,NEGLIGIBLE,POSITIVE (coupled),0.03
fy1,pi0,0.029,0.7778,NO,NEGLIGIBLE,POSITIVE (coupled),0.029
fy2,q_param,-0.028,0.7841,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.028
weight,q_param,-0.026,0.7984,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.026
weight,exponent2,-0.026,0.7983,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.026
q_param,exponent2,-0.026,0.7961,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.026
fy1,fy2,0.024,0.8092,NO,NEGLIGIBLE,POSITIVE (coupled),0.024
fz1,exponent1,-0.024,0.8135,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.024
weight,scale1,0.023,0.8169,NO,NEGLIGIBLE,POSITIVE (coupled),0.023
fx1,pi0,-0.017,0.8646,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.017
fz1,weight,0.012,0.9084,NO,NEGLIGIBLE,POSITIVE (coupled),0.012
fx2,fy1,-0.012,0.9038,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.012
fz2,q_param,-0.011,0.9142,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.011
fx2,weight,-0.009,0.9289,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.009
scale1,phi,-0.009,0.9266,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.009
scale2,phi,-0.008,0.9393,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.008
fz2,exponent1,-0.008,0.9340,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.008
fy2,exponent1,-0.008,0.9351,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.008
q_param,exponent1,-0.007,0.9462,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.007
fy2,scale1,0.007,0.9451,NO,NEGLIGIBLE,POSITIVE (coupled),0.007
fx1,fx2,-0.007,0.9480,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.007
fz1,q_param,0.005,0.9625,NO,NEGLIGIBLE,POSITIVE (coupled),0.005
fz1,phi,-0.005,0.9633,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.005
fz2,phi,0.004,0.9663,NO,NEGLIGIBLE,POSITIVE (coupled),0.004
phi,q_param,-0.002,0.9818,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.002
