,simulation,model,scale1_post_mean,scale1_rhat,scale1_ess_bulk,scale1_bias,scale1_abs_bias,scale1_relative_error,scale1_covered,scale1_converged,exponent1_post_mean,exponent1_rhat,exponent1_ess_bulk,exponent1_bias,exponent1_abs_bias,exponent1_relative_error,exponent1_covered,exponent1_converged,q_param_post_mean,q_param_rhat,q_param_ess_bulk,q_param_bias,q_param_abs_bias,q_param_relative_error,q_param_covered,q_param_converged,pi0_post_mean,pi0_rhat,pi0_ess_bulk,pi0_bias,pi0_abs_bias,pi0_relative_error,pi0_covered,pi0_converged,phi_post_mean,phi_rhat,phi_ess_bulk,phi_bias,phi_abs_bias,phi_relative_error,phi_covered,phi_converged,n_fx1,fx1_post_mean_avg,fx1_post_mean_sd,fx1_post_mean_min,fx1_post_mean_max,fx1_bias_mean,fx1_bias_sd,fx1_rmse,fx1_mae,fx1_coverage_rate,fx1_n_covered,fx1_n_rhat_nan,fx1_rhat_mean,fx1_rhat_max,fx1_n_rhat_above_1.01,fx1_ess_bulk_min,fx1_ess_bulk_mean,fx1_n_ess_below_400,n_fy1,fy1_post_mean_avg,fy1_post_mean_sd,fy1_post_mean_min,fy1_post_mean_max,fy1_bias_mean,fy1_bias_sd,fy1_rmse,fy1_mae,fy1_coverage_rate,fy1_n_covered,fy1_n_rhat_nan,fy1_rhat_mean,fy1_rhat_max,fy1_n_rhat_above_1.01,fy1_ess_bulk_min,fy1_ess_bulk_mean,fy1_n_ess_below_400
10,10,power_law,12.384,1.0,10208.0,-2.6159999999999997,2.6159999999999997,17.439999999999998,1,1,2.805,1.0,11803.0,-0.19499999999999984,0.19499999999999984,6.499999999999995,1,1,0.005,1.0,30061.0,-0.005,0.005,50.0,1,1,0.297,1.0,19576.0,-0.0030000000000000027,0.0030000000000000027,1.0000000000000009,1,1,19.126,1.0,20785.0,1.1260000000000012,1.1260000000000012,6.255555555555563,1,1,4,0.21650000000000003,0.1168685158629132,0.067,0.346,0.21650000000000003,0.1168685158629132,0.24602946977953677,0.21650000000000003,1.0,4,0,1.0,1.0,0,4074.0,6809.75,0,4,-0.06975,0.12206632418484634,-0.194,0.095,-0.06975,0.12206632418484634,0.14058893982102574,0.11725000000000001,1.0,4,0,1.0,1.0,0,14417.0,18726.75,0
11,11,power_law,11.135,1.0,8835.0,-3.865,3.865,25.766666666666666,1,1,2.617,1.0,11861.0,-0.383,0.383,12.766666666666667,1,1,0.007,1.0,29474.0,-0.003,0.003,30.0,1,1,0.316,1.0,29743.0,0.016000000000000014,0.016000000000000014,5.333333333333338,1,1,17.601,1.0,29994.0,-0.3990000000000009,0.3990000000000009,2.2166666666666717,1,1,4,0.21400000000000002,0.10495951600498166,0.052,0.331,0.21400000000000002,0.10495951600498166,0.23835372873106056,0.21400000000000002,1.0,4,0,1.0,1.0,0,3417.0,7648.0,0,4,-0.04324999999999999,0.14716041417446474,-0.236,0.153,-0.04324999999999999,0.14716041417446474,0.1533843212326475,0.13425,1.0,4,0,1.0,1.0,0,19310.0,21628.75,0
12,12,power_law,12.51,1.0,10139.0,-2.49,2.49,16.6,1,1,2.779,1.0,13551.0,-0.22100000000000009,0.22100000000000009,7.36666666666667,1,1,0.018,1.0,18484.0,0.007999999999999998,0.007999999999999998,79.99999999999999,1,1,0.32,1.0,18030.0,0.020000000000000018,0.020000000000000018,6.666666666666673,1,1,18.315,1.0,22229.0,0.3150000000000013,0.3150000000000013,1.750000000000007,1,1,4,0.22699999999999998,0.04276680956068619,0.174,0.284,0.22699999999999998,0.04276680956068619,0.23099350640223631,0.22699999999999998,1.0,4,0,1.0,1.0,0,5436.0,6541.25,0,4,-0.2175,0.39912748589892927,-0.779,0.333,-0.2175,0.39912748589892927,0.45454262726393446,0.384,1.0,4,0,1.0,1.0,0,9320.0,13802.5,0
13,13,power_law,10.886,1.0,8708.0,-4.114000000000001,4.114000000000001,27.426666666666673,0,1,2.594,1.0,10435.0,-0.40600000000000014,0.40600000000000014,13.533333333333339,1,1,0.011,1.0,33615.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,1,0.299,1.0,28618.0,-0.0010000000000000009,0.0010000000000000009,0.33333333333333365,1,1,18.564,1.0,27559.0,0.5640000000000001,0.5640000000000001,3.1333333333333337,1,1,4,0.1805,0.049681485485037584,0.128,0.256,0.1805,0.049681485485037584,0.187212446167449,0.1805,1.0,4,0,1.0,1.0,0,3991.0,6820.75,0,4,-0.08975000000000001,0.34265461838416833,-0.672,0.182,-0.08975000000000001,0.34265461838416833,0.35421356552227073,0.24625000000000002,1.0,4,0,1.0,1.0,0,21798.0,24344.75,0
14,14,power_law,12.316,1.0,10005.0,-2.6839999999999993,2.6839999999999993,17.893333333333327,1,1,2.81,1.0,13572.0,-0.18999999999999995,0.18999999999999995,6.333333333333331,1,1,0.011,1.0,26708.0,0.0009999999999999992,0.0009999999999999992,9.999999999999991,1,1,0.326,1.0,28953.0,0.026000000000000023,0.026000000000000023,8.666666666666675,1,1,18.686,1.0,26717.0,0.6859999999999999,0.6859999999999999,3.811111111111111,1,1,4,0.324,0.10758485023459391,0.219,0.502,0.324,0.10758485023459391,0.34139493259273784,0.324,1.0,4,0,1.0,1.0,0,2682.0,3959.5,0,4,-0.20675000000000004,0.33437432242922005,-0.687,0.205,-0.20675000000000004,0.33437432242922005,0.3931307034562424,0.30925,1.0,4,0,1.0,1.0,0,15358.0,17089.5,0
15,15,power_law,12.898,1.0,7212.0,-2.1020000000000003,2.1020000000000003,14.013333333333335,1,1,2.836,1.0,7022.0,-0.16400000000000015,0.16400000000000015,5.466666666666672,1,1,0.007,1.0,12129.0,-0.003,0.003,30.0,1,1,0.307,1.0,26460.0,0.007000000000000006,0.007000000000000006,2.3333333333333357,1,1,17.509,1.0,12386.0,-0.49099999999999966,0.49099999999999966,2.7277777777777756,1,1,4,0.39375,0.13749068150242036,0.217,0.603,0.39375,0.13749068150242036,0.4170644434616789,0.39375,1.0,4,0,1.0,1.0,0,2467.0,4118.5,0,4,-0.126,0.3757851779940236,-0.535,0.407,-0.126,0.3757851779940236,0.3963464393683889,0.3505,1.0,4,0,1.0,1.0,0,13449.0,18730.0,0
16,16,power_law,11.386,1.0,8604.0,-3.6140000000000008,3.6140000000000008,24.093333333333337,1,1,2.698,1.0,9475.0,-0.30200000000000005,0.30200000000000005,10.066666666666668,1,1,0.015,1.0,25755.0,0.004999999999999999,0.004999999999999999,49.999999999999986,1,1,0.316,1.0,25183.0,0.016000000000000014,0.016000000000000014,5.333333333333338,1,1,18.022,1.0,21672.0,0.021999999999998465,0.021999999999998465,0.1222222222222137,1,1,4,0.151,0.060753600716336155,0.074,0.23,0.151,0.060753600716336155,0.1627636323015679,0.151,1.0,4,0,1.0,1.0,0,6104.0,8639.5,0,4,0.09375,0.2436712693363746,-0.079,0.512,0.09375,0.2436712693363746,0.26108379880796895,0.16575,0.75,3,0,1.0,1.0,0,13116.0,16308.75,0
17,17,power_law,12.378,1.0,10631.0,-2.622,2.622,17.479999999999997,1,1,2.755,1.0,11711.0,-0.2450000000000001,0.2450000000000001,8.166666666666671,1,1,0.009,1.0,32655.0,-0.0010000000000000009,0.0010000000000000009,10.000000000000009,1,1,0.301,1.0,28287.0,0.0010000000000000009,0.0010000000000000009,0.33333333333333365,1,1,18.037,1.0,31650.0,0.036999999999999034,0.036999999999999034,0.2055555555555502,1,1,4,0.10675,0.05488339912942711,0.069,0.201,0.10675,0.05488339912942711,0.12003228732303656,0.10675,1.0,4,0,1.0,1.0,0,6676.0,11054.25,0,4,-0.19574999999999998,0.21155776397948622,-0.427,0.145,-0.19574999999999998,0.21155776397948622,0.2882269071408844,0.26825,1.0,4,0,1.0,1.0,0,18089.0,21613.25,0
18,18,power_law,11.865,1.0,10306.0,-3.135,3.135,20.9,1,1,2.728,1.0,11916.0,-0.2719999999999998,0.2719999999999998,9.066666666666661,1,1,0.015,1.0,29650.0,0.004999999999999999,0.004999999999999999,49.999999999999986,1,1,0.322,1.0,27300.0,0.02200000000000002,0.02200000000000002,7.33333333333334,1,1,19.51,1.0,28407.0,1.5100000000000016,1.5100000000000016,8.388888888888896,1,1,4,0.16875,0.09286111942034729,0.073,0.305,0.16875,0.09286111942034729,0.19261295387382438,0.16875,1.0,4,0,1.0,1.0,0,1981.0,8216.75,0,4,0.26075,0.12149974279808168,0.099,0.413,0.26075,0.12149974279808168,0.28766777713188524,0.26075,1.0,4,0,1.0,1.0,0,17652.0,22235.5,0
19,19,power_law,13.782,1.0,8153.0,-1.218,1.218,8.12,1,1,3.127,1.0,11019.0,0.12699999999999978,0.12699999999999978,4.233333333333325,1,1,0.017,1.0,14027.0,0.007000000000000001,0.007000000000000001,70.0,1,1,0.322,1.0,25841.0,0.02200000000000002,0.02200000000000002,7.33333333333334,1,1,20.805,1.0,20358.0,2.8049999999999997,2.8049999999999997,15.583333333333332,0,1,4,0.392,0.15627379818766807,0.244,0.655,0.392,0.15627379818766807,0.4220017772474424,0.392,1.0,4,0,1.0025,1.01,0,1258.0,3654.5,0,4,-0.15275,0.13553850928795105,-0.32,0.054,-0.15275,0.13553850928795105,0.2042137360708138,0.17975000000000002,1.0,4,0,1.0,1.0,0,11768.0,13747.75,0
