,simulation,model,scale1_post_mean,scale1_rhat,scale1_ess_bulk,scale1_bias,scale1_abs_bias,scale1_relative_error,scale1_covered,scale1_converged,exponent1_post_mean,exponent1_rhat,exponent1_ess_bulk,exponent1_bias,exponent1_abs_bias,exponent1_relative_error,exponent1_covered,exponent1_converged,q_param_post_mean,q_param_rhat,q_param_ess_bulk,q_param_bias,q_param_abs_bias,q_param_relative_error,q_param_covered,q_param_converged,pi0_post_mean,pi0_rhat,pi0_ess_bulk,pi0_bias,pi0_abs_bias,pi0_relative_error,pi0_covered,pi0_converged,phi_post_mean,phi_rhat,phi_ess_bulk,phi_bias,phi_abs_bias,phi_relative_error,phi_covered,phi_converged,n_fx1,fx1_post_mean_avg,fx1_post_mean_sd,fx1_post_mean_min,fx1_post_mean_max,fx1_bias_mean,fx1_bias_sd,fx1_rmse,fx1_mae,fx1_coverage_rate,fx1_n_covered,fx1_n_rhat_nan,fx1_rhat_mean,fx1_rhat_max,fx1_n_rhat_above_1.01,fx1_ess_bulk_min,fx1_ess_bulk_mean,fx1_n_ess_below_400,n_fy1,fy1_post_mean_avg,fy1_post_mean_sd,fy1_post_mean_min,fy1_post_mean_max,fy1_bias_mean,fy1_bias_sd,fy1_rmse,fy1_mae,fy1_coverage_rate,fy1_n_covered,fy1_n_rhat_nan,fy1_rhat_mean,fy1_rhat_max,fy1_n_rhat_above_1.01,fy1_ess_bulk_min,fy1_ess_bulk_mean,fy1_n_ess_below_400
61,61,power_law,4.05,1.0,7260.0,-0.9500000000000002,0.9500000000000002,19.000000000000004,1,1,1.799,1.0,10045.0,-0.20100000000000007,0.20100000000000007,10.050000000000004,1,1,0.015,1.0,26935.0,0.004999999999999999,0.004999999999999999,49.999999999999986,1,1,0.305,1.0,25344.0,0.0050000000000000044,0.0050000000000000044,1.6666666666666683,1,1,16.426,1.0,27986.0,-1.5740000000000016,1.5740000000000016,8.744444444444452,1,1,4,0.07925,0.03139566052816854,0.054,0.132,0.07925,0.03139566052816854,0.08524230170519799,0.07925,1.0,4,0,1.0,1.0,0,3530.0,6773.0,0,4,-0.011000000000000003,0.1393502780765076,-0.165,0.164,-0.011000000000000003,0.1393502780765076,0.1397837615747981,0.136,1.0,4,0,1.0,1.0,0,24538.0,26280.25,0
62,62,power_law,5.173,1.0,9348.0,0.17300000000000004,0.17300000000000004,3.4600000000000004,1,1,2.085,1.0,11660.0,0.08499999999999996,0.08499999999999996,4.249999999999998,1,1,0.013,1.0,28324.0,0.002999999999999999,0.002999999999999999,29.999999999999993,1,1,0.27,1.0,32084.0,-0.02999999999999997,0.02999999999999997,9.999999999999991,0,1,18.156,1.0,17006.0,0.1559999999999988,0.1559999999999988,0.86666666666666,1,1,4,0.08425,0.03625861966484659,0.032,0.121,0.08425,0.03625861966484659,0.09172104447726269,0.08425,1.0,4,0,1.0,1.0,0,4063.0,8032.25,0,4,-0.1455,0.15885606692852497,-0.379,0.014,-0.1455,0.15885606692852497,0.215419358461583,0.1525,1.0,4,0,1.0,1.0,0,17382.0,21254.5,0
63,63,power_law,4.28,1.0,6820.0,-0.7199999999999998,0.7199999999999998,14.399999999999997,1,1,1.962,1.0,9205.0,-0.038000000000000034,0.038000000000000034,1.9000000000000017,1,1,0.009,1.0,26546.0,-0.0010000000000000009,0.0010000000000000009,10.000000000000009,1,1,0.27,1.0,21470.0,-0.02999999999999997,0.02999999999999997,9.999999999999991,0,1,20.749,1.0,28398.0,2.7489999999999988,2.7489999999999988,15.272222222222215,0,1,4,0.096,0.043812098785609446,0.046,0.164,0.096,0.043812098785609446,0.10552487858320427,0.096,1.0,4,0,1.0,1.0,0,3160.0,4879.25,0,4,0.191,0.24039862728393438,-0.104,0.46,0.191,0.24039862728393438,0.30703827123015137,0.243,0.75,3,0,1.0,1.0,0,22009.0,24263.5,0
64,64,power_law,2.868,1.0,5800.0,-2.132,2.132,42.64,0,1,1.727,1.0,9862.0,-0.2729999999999999,0.2729999999999999,13.649999999999995,0,1,0.014,1.0,25766.0,0.004,0.004,40.0,1,1,0.308,1.0,24056.0,0.008000000000000007,0.008000000000000007,2.666666666666669,1,1,18.296,1.0,17630.0,0.2959999999999994,0.2959999999999994,1.644444444444441,1,1,4,0.06125,0.010034316120194738,0.05,0.077,0.06125,0.010034316120194738,0.062066496598406455,0.06125,1.0,4,0,1.0,1.0,0,2298.0,3898.75,0,4,0.022750000000000006,0.19286183526037495,-0.196,0.332,0.022750000000000006,0.19286183526037495,0.1941989958779396,0.14425,1.0,4,0,1.0,1.0,0,5535.0,20390.75,0
65,65,power_law,4.454,1.0,11020.0,-0.5460000000000003,0.5460000000000003,10.920000000000005,1,1,1.968,1.0,14681.0,-0.03200000000000003,0.03200000000000003,1.6000000000000014,1,1,0.015,1.0,28756.0,0.004999999999999999,0.004999999999999999,49.999999999999986,1,1,0.294,1.0,26972.0,-0.006000000000000005,0.006000000000000005,2.0000000000000018,1,1,16.23,1.0,32076.0,-1.7699999999999996,1.7699999999999996,9.833333333333332,1,1,4,0.28200000000000003,0.10021726398181104,0.211,0.455,0.28200000000000003,0.10021726398181104,0.2992782985784302,0.28200000000000003,1.0,4,0,1.0025,1.01,0,1246.0,2541.25,0,4,-0.103,0.1098134782255803,-0.286,0.006,-0.103,0.1098134782255803,0.15055895855112705,0.106,1.0,4,0,1.0,1.0,0,20849.0,23551.5,0
66,66,power_law,4.383,1.0,7497.0,-0.617,0.617,12.34,1,1,1.986,1.0,9095.0,-0.014000000000000012,0.014000000000000012,0.7000000000000006,1,1,0.012,1.0,2284.0,0.002,0.002,20.0,1,1,0.278,1.0,1223.0,-0.021999999999999964,0.021999999999999964,7.333333333333322,1,1,18.648,1.0,20765.0,0.6479999999999997,0.6479999999999997,3.5999999999999983,1,1,4,0.04925,0.01269596392559462,0.029,0.061,0.04925,0.01269596392559462,0.05086010224134434,0.04925,1.0,4,0,1.0,1.0,0,5980.0,6938.0,0,4,-0.030499999999999996,0.028883386228072357,-0.057,0.018,-0.030499999999999996,0.028883386228072357,0.04200595195921644,0.03949999999999999,1.0,4,0,1.0025,1.01,0,676.0,11393.75,0
67,67,power_law,3.244,1.0,5048.0,-1.7559999999999998,1.7559999999999998,35.12,0,1,1.768,1.0,5568.0,-0.23199999999999998,0.23199999999999998,11.6,0,1,0.008,1.0,12057.0,-0.002,0.002,20.0,1,1,0.314,1.0,13399.0,0.014000000000000012,0.014000000000000012,4.666666666666671,1,1,18.255,1.0,5436.0,0.254999999999999,0.254999999999999,1.4166666666666612,1,1,4,0.10675,0.06843016513205269,0.038,0.182,0.10675,0.06843016513205269,0.12680003943217052,0.10675,1.0,4,0,1.0025,1.01,0,496.0,2992.75,0,4,-0.1,0.1648832920583526,-0.304,0.143,-0.1,0.1648832920583526,0.19283801492444377,0.17149999999999999,1.0,4,0,1.0,1.0,0,7781.0,10430.0,0
68,68,power_law,3.796,1.0,6474.0,-1.2040000000000002,1.2040000000000002,24.080000000000005,1,1,1.875,1.0,8212.0,-0.125,0.125,6.25,1,1,0.004,1.0,17841.0,-0.006,0.006,60.0,0,1,0.297,1.0,23705.0,-0.0030000000000000027,0.0030000000000000027,1.0000000000000009,1,1,19.13,1.0,25111.0,1.129999999999999,1.129999999999999,6.277777777777772,1,1,4,0.091,0.06430785333067805,0.037,0.196,0.091,0.06430785333067805,0.11142934981413112,0.091,1.0,4,0,1.0025,1.01,0,1236.0,5468.75,0,4,-0.13375,0.15623279905320778,-0.397,-0.014,-0.13375,0.15623279905320778,0.2056641680021097,0.13375,1.0,4,0,1.0,1.0,0,22311.0,23670.75,0
69,69,power_law,4.04,1.0,6242.0,-0.96,0.96,19.2,1,1,1.87,1.0,9056.0,-0.1299999999999999,0.1299999999999999,6.499999999999995,1,1,0.009,1.0,32739.0,-0.0010000000000000009,0.0010000000000000009,10.000000000000009,1,1,0.281,1.0,27668.0,-0.01899999999999996,0.01899999999999996,6.3333333333333215,1,1,17.183,1.0,25871.0,-0.8170000000000002,0.8170000000000002,4.53888888888889,1,1,4,0.052,0.0018708286933869704,0.05,0.055,0.052,0.0018708286933869704,0.05203364296299078,0.052,1.0,4,0,1.0,1.0,0,6971.0,7431.25,0,4,-0.015000000000000003,0.11102927541869306,-0.151,0.147,-0.015000000000000003,0.11102927541869306,0.11203794000248307,0.0975,1.0,4,0,1.0,1.0,0,19066.0,28560.0,0
70,70,power_law,4.395,1.0,8058.0,-0.6050000000000004,0.6050000000000004,12.100000000000009,1,1,1.985,1.0,10414.0,-0.014999999999999902,0.014999999999999902,0.7499999999999951,1,1,0.014,1.0,22177.0,0.004,0.004,40.0,1,1,0.308,1.0,21674.0,0.008000000000000007,0.008000000000000007,2.666666666666669,1,1,18.826,1.0,20490.0,0.8260000000000005,0.8260000000000005,4.588888888888891,1,1,4,0.18,0.12160797671205618,0.056,0.359,0.18,0.12160797671205618,0.21722914169144067,0.18,1.0,4,0,1.0025,1.01,0,833.0,4702.0,0,4,0.0335,0.2123834974756749,-0.308,0.276,0.0335,0.2123834974756749,0.21500930212434996,0.1875,1.0,4,0,1.0,1.0,0,17443.0,21236.0,0
