simulation,model_type,overall_r2,overall_rmse,overall_mae,obs_zeros,pred_zeros,obs_ones,pred_ones,continuous_r2,continuous_rmse
23,exponential,0.433734153,0.140605511,0.095643779,0.265936255,0.266872915,0.00498008,0.005903013,0.665821854,0.10175851
23,gaussian,0.414778591,0.142939501,0.098304155,0.265936255,0.266460657,0.00498008,0.00597457,0.634713278,0.106389474
23,power_law,0.443722827,0.139359885,0.093914597,0.265936255,0.266443569,0.00498008,0.005898188,0.687322505,0.098430577
24,exponential,0.421835921,0.140247959,0.09598492,0.234063745,0.234985402,0.005976096,0.006860838,0.655834459,0.099217804
24,gaussian,0.399991673,0.142872826,0.098992625,0.234063745,0.234964766,0.005976096,0.006893955,0.623368701,0.103792057
24,power_law,0.440894993,0.137916964,0.093870647,0.234063745,0.234940364,0.005976096,0.006869709,0.677766815,0.09600438
25,exponential,0.321599327,0.162314485,0.104762848,0.238047809,0.237723668,0.011952191,0.01279728,0.653241695,0.102184384
25,gaussian,0.302772335,0.16455135,0.107415976,0.238047809,0.237771321,0.011952191,0.012795692,0.621650865,0.106737609
25,power_law,0.333886916,0.160837801,0.103499438,0.238047809,0.237934481,0.011952191,0.012756287,0.671384572,0.099475257
26,exponential,0.428630773,0.141659554,0.093489202,0.225099602,0.225961996,0.007968127,0.008805186,0.684599184,0.095288949
26,gaussian,0.412373446,0.143660758,0.096146047,0.225099602,0.226041148,0.007968127,0.008791055,0.653518053,0.099873768
26,power_law,0.444762698,0.139645442,0.091091373,0.225099602,0.225949546,0.007968127,0.008790152,0.709664519,0.091424204
27,exponential,0.342577384,0.161254702,0.103044119,0.236055777,0.237023002,0.014940239,0.015739915,0.676505573,0.095469802
27,gaussian,0.328388196,0.162985597,0.105617108,0.236055777,0.237238079,0.014940239,0.015635303,0.638853858,0.100872808
27,power_law,0.346468252,0.160776812,0.102042591,0.236055777,0.237077627,0.014940239,0.015652235,0.695551789,0.092616707
28,exponential,0.483505977,0.134429791,0.093952564,0.247011952,0.248635738,0.005976096,0.006858317,0.662200542,0.099815294
28,gaussian,0.464829052,0.136838763,0.096160596,0.247011952,0.249213054,0.005976096,0.006764629,0.638620537,0.103240322
28,power_law,0.487942588,0.13385118,0.092780024,0.247011952,0.248765127,0.005976096,0.006859593,0.678775838,0.097335602
29,exponential,0.472052735,0.137936728,0.095511801,0.238047809,0.238650149,0.006972112,0.007846489,0.662772045,0.101763022
29,gaussian,0.445695664,0.141337949,0.098972921,0.238047809,0.238895014,0.006972112,0.007850349,0.622234509,0.107705865
29,power_law,0.501069726,0.134092527,0.092242848,0.238047809,0.238882657,0.006972112,0.007891341,0.700748373,0.095861997
30,exponential,0.466614774,0.142614584,0.096409644,0.257968127,0.260214797,0.009960159,0.010723419,0.668878063,0.10032007
30,gaussian,0.444463241,0.145545857,0.099439107,0.257968127,0.260115476,0.009960159,0.010769983,0.637692199,0.104937978
30,power_law,0.48250409,0.14047431,0.094059996,0.257968127,0.260186784,0.009960159,0.010758062,0.692466456,0.096680769
31,exponential,0.386482883,0.144763385,0.097416181,0.234063745,0.234056555,0.007968127,0.008848201,0.663836993,0.096641769
31,gaussian,0.371461054,0.146524917,0.099738143,0.234063745,0.234181213,0.007968127,0.008804158,0.633932704,0.100848716
31,power_law,0.399438079,0.143226798,0.09595225,0.234063745,0.234128828,0.007968127,0.00883877,0.6849687,0.093554948
32,exponential,0.401481246,0.142135146,0.094963609,0.252988048,0.25336725,0.006972112,0.007867437,0.662803354,0.097906568
32,gaussian,0.382176841,0.144409142,0.097824294,0.252988048,0.253425423,0.006972112,0.007822429,0.621688047,0.103703935
32,power_law,0.417495296,0.14022076,0.093137736,0.252988048,0.2529798,0.006972112,0.007854239,0.690466812,0.09380453
33,exponential,0.397651694,0.146881125,0.098078177,0.240039841,0.240440332,0.007968127,0.008827253,0.669944597,0.098602803
33,gaussian,0.373374775,0.14981182,0.101607149,0.240039841,0.24023534,0.007968127,0.008808578,0.629368698,0.104488112
33,power_law,0.41906704,0.144246456,0.095531194,0.240039841,0.240367219,0.007968127,0.008776955,0.69771532,0.09436347
34,exponential,0.38126088,0.150529989,0.099899587,0.233067729,0.234197087,0.011952191,0.01279009,0.639095286,0.099473431
34,gaussian,0.362945306,0.152741694,0.102466999,0.233067729,0.233805559,0.011952191,0.012715233,0.603069636,0.104320097
34,power_law,0.397909095,0.148491049,0.097040448,0.233067729,0.233395979,0.011952191,0.012813558,0.675456908,0.094329385
35,exponential,0.428598497,0.138423013,0.093713381,0.248007968,0.248788533,0.007968127,0.008804594,0.658165657,0.096417264
35,gaussian,0.411042636,0.140533395,0.095961817,0.248007968,0.248672591,0.007968127,0.008780129,0.626502439,0.100783826
35,power_law,0.439231794,0.137128997,0.092372386,0.248007968,0.248745269,0.007968127,0.00881222,0.676161916,0.093844952
36,exponential,0.401810781,0.141769434,0.099406566,0.248007968,0.24822622,0.005976096,0.006872634,0.63985903,0.101231884
36,gaussian,0.382181632,0.14407669,0.101622453,0.248007968,0.247988733,0.005976096,0.006897597,0.605315698,0.105975624
36,power_law,0.417857229,0.139855023,0.096739592,0.248007968,0.247990911,0.005976096,0.006886828,0.675661643,0.096068323
37,exponential,0.446711272,0.143901058,0.095016787,0.235059761,0.236659954,0.006972112,0.007826133,0.687551784,0.099724693
37,gaussian,0.421168436,0.147185212,0.098291569,0.235059761,0.236518831,0.006972112,0.00788468,0.650325374,0.105498368
37,power_law,0.466645534,0.141284996,0.093430809,0.235059761,0.236396165,0.006972112,0.007844684,0.707554338,0.096479774
38,exponential,0.454881564,0.141259463,0.09471107,0.257968127,0.260021694,0.006972112,0.007783553,0.668655657,0.100894693
38,gaussian,0.429811865,0.144471175,0.097773133,0.257968127,0.25972566,0.006972112,0.007828872,0.629536299,0.106684511
38,power_law,0.479263664,0.138064193,0.093050056,0.257968127,0.259836747,0.006972112,0.007860247,0.694858166,0.096823197
39,exponential,0.462676556,0.137507407,0.095950001,0.258964143,0.260391279,0.006972112,0.007817822,0.661987959,0.100423706
39,gaussian,0.434027885,0.141125572,0.099079349,0.258964143,0.260212836,0.006972112,0.007835813,0.623515414,0.105984842
39,power_law,0.488349087,0.134182251,0.09353929,0.258964143,0.259869989,0.006972112,0.007854831,0.69402954,0.095545427
40,exponential,0.391315034,0.148387871,0.098494935,0.219123506,0.220345649,0.010956175,0.011825417,0.664782907,0.095492381
40,gaussian,0.383212303,0.149372266,0.099547528,0.219123506,0.220348699,0.010956175,0.011734219,0.646513056,0.0980601
