,Simulation,Model,rank_loo,elpd_loo,p_loo,se_d_loo,delta_elpd,AIC,BIC,Predictive Equivalent
63,21,exponential,1,908.6696692741423,8.72405435358803,12.096454493287643,-84.94701915412861,15.604207193495055,58.376278463830985,False
64,21,gaussian,2,724.8910870437612,13.221787236927412,18.73101070697776,-268.7256013845097,24.952966780789755,89.7749165247359,False
65,21,power_law,0,993.6166884282709,6.9027773396484235,0.0,0.0,11.789086990666442,45.611731113070384,True
66,22,exponential,1,787.2458885681237,8.56453425831387,12.83180913685022,-99.6389710838796,15.537001213656296,57.54778938151458,False
67,22,gaussian,2,609.4268716617526,12.449479103011527,18.742533568489794,-277.4579879902508,23.734911346363916,84.9987379206347,False
68,22,power_law,0,886.8848596520033,7.271642396972311,0.0,0.0,12.752397211477751,48.41595814124111,True
69,23,exponential,1,835.3949934739195,10.738142808150883,13.618574978064238,-121.36374409997813,19.79735571946563,72.50426048383352,False
70,23,gaussian,2,688.1754491041913,6.304616321501726,19.0341820262077,-268.5832884697063,11.21588683747464,42.131376952247685,False
71,23,power_law,0,956.7587375738976,7.31356844155539,0.0,0.0,12.694969809449073,48.56063212506344,True
72,24,exponential,1,973.3243667228519,8.97573038319672,12.980631470389998,-98.7929308074506,15.981491705902354,59.997314039974306,False
73,24,gaussian,2,772.3284661158268,8.883540513303842,20.213258774524906,-299.7888314144757,16.177959766259384,59.689229203955975,False
74,24,power_law,0,1072.1172975303025,7.454263353017723,0.0,0.0,12.740788400328576,49.285399311692615,True
75,25,exponential,1,989.8778351169096,7.817034299009038,12.598761699658292,-77.19322877819832,13.636112340282061,51.97498025621363,False
76,25,gaussian,2,792.7186450199135,11.565002910604449,18.04549561495239,-274.3524188751944,21.401576873010782,77.83763179428168,False
77,25,power_law,0,1067.071063895108,7.05307304847679,0.0,0.0,11.95125409730972,46.53265529345447,True
78,26,exponential,1,858.6383301583912,8.720139541337176,12.832722500625351,-86.96906770753776,15.705567851676072,58.480788495707436,False
79,26,gaussian,2,662.4851981362687,14.665470413584785,18.661806330796807,-283.12219972966034,26.603054377334516,95.17086284996957,False
80,26,power_law,0,945.607397865929,7.912599798168571,0.0,0.0,13.918380730003602,52.73289420332384,True
81,27,exponential,1,973.472125998469,8.464131757152472,12.814888871469847,-87.45477566356294,14.96501833712026,56.48597608919973,False
82,27,gaussian,2,784.7662350955443,7.498656118800682,19.7923197974314,-276.16066656648763,13.38573246494691,50.10270188790313,False
83,27,power_law,0,1060.926901662032,7.368788663638043,0.0,0.0,12.599622450620048,48.74265257631345,True
84,28,exponential,1,769.3226595458636,8.735701135305021,12.638188080945575,-91.81051590729612,15.9160801206109,58.76951988050866,False
85,28,gaussian,2,563.4278762188468,7.611158379899052,19.479611585579864,-297.705299234313,14.051708992238837,51.31686762361608,False
86,28,power_law,0,861.1331754531598,6.791355973697591,0.0,0.0,11.84645088354596,45.159297208176696,True
87,29,exponential,1,1044.3953955725704,7.88308698453443,12.596319890271943,-83.30740439348688,13.621630222435561,52.192843536589244,False
88,29,gaussian,2,829.3430138221404,8.858486483915158,18.45425959343416,-298.35978614391684,16.001005972347468,59.35798223917343,False
89,29,power_law,0,1127.7027999660572,6.902781668055013,0.0,0.0,11.495849147853455,45.25710349232311,True
90,30,exponential,1,910.4412953060157,7.941390322011557,12.124362206412238,-84.51438180952437,14.039010099293987,52.9770139962429,False
91,30,gaussian,2,736.7845451944843,8.051143407056998,18.229225623872768,-258.1711319210558,14.345007991241495,53.18213996979721,False
92,30,power_law,0,994.9556771155401,6.924585066625696,0.0,0.0,11.839417706182362,45.792149765052024,True
93,31,exponential,1,1001.7644930501299,8.290370131428404,11.781576703035938,-78.44396626424009,14.559272737781168,55.22303534322864,False
94,31,gaussian,2,815.9055452412156,8.413594440744646,19.241725565831203,-264.3029140731544,15.111629415296663,56.21910281310113,False
95,31,power_law,0,1080.20845931437,7.179204012686569,0.0,0.0,12.179045292965082,47.38420598653914,True
96,32,exponential,1,820.5877374650988,7.5150797589749345,11.222254704652519,-74.3765656831547,13.373626120971965,50.23679141934041,False
97,32,gaussian,2,656.286849114206,7.686533267402638,17.732487480899664,-238.6774540340475,13.920271290473622,51.31898535386559,False
98,32,power_law,0,894.9643031482535,6.706578380582641,0.0,0.0,11.60221714131045,44.48162621063483,True
99,33,exponential,1,896.4067464970358,8.214348870482809,10.871690414590724,-78.13494572180878,14.619621153731778,54.91414940201208,False
100,33,gaussian,2,713.1122563316666,11.213197623088831,18.440986145808775,-261.429435887178,20.981224871471166,75.99451055972202,False
101,33,power_law,0,974.5416922188446,6.79410757829055,0.0,0.0,11.622846153062715,44.94360585922856,True
102,34,exponential,1,792.5261210121664,10.095503206477133,12.719443682355623,-109.13811165852053,18.58153729353561,68.09292085869154,False
103,34,gaussian,2,648.9382164353735,8.70692506249054,19.128735539902852,-252.7260162353134,16.06146001786193,58.68093001707485,False
104,34,power_law,0,901.6642326706869,7.168602040099813,0.0,0.0,12.520792839141418,47.688243668504214,True
105,35,exponential,1,950.5589342642395,7.769536222500051,12.535980000926093,-82.64083007922204,13.623532275190444,51.738401220510404,False
106,35,gaussian,2,773.39441940522,9.934860430101935,18.492999497412494,-259.80534493824155,18.28101419543074,66.96081662682393,False
107,35,power_law,0,1033.1997643434615,6.90998394302369,0.0,0.0,11.739953969186143,45.636224913848885,True
108,36,exponential,1,882.1537363203495,8.68784551377621,12.986715015544098,-98.25796484433317,15.584370104676982,58.17756812588797,False
109,36,gaussian,2,702.5966370203421,12.137460968160099,17.946305709691906,-277.81506414434057,22.885823663460503,82.52333075037359,False
110,36,power_law,0,980.4117011646827,7.081050650533371,0.0,0.0,12.177734819512763,46.88971164347093,True
111,37,exponential,1,952.2480181809037,8.2425021940752,12.123750252722182,-79.71999197022978,14.561149937749382,54.98634705217871,False
112,37,gaussian,2,753.0542960069317,16.264675554798032,18.887720167272022,-278.9137141442018,30.927083990535806,110.55438490957249,False
113,37,power_law,0,1031.9680101511335,7.106941202773669,0.0,0.0,12.131944488988974,46.98460804345741,True
114,38,exponential,1,893.6483506636689,8.853565770064279,13.116751162735051,-96.58122719936387,15.901765796147417,59.33057489731983,False
115,38,gaussian,2,727.3360239622534,11.877621870324674,19.092848308450378,-262.89355390077935,22.29580511606202,80.60597657295502,False
116,38,power_law,0,990.2295778630328,7.476159106236764,0.0,0.0,12.955990440008806,49.626811359040886,True
117,39,exponential,1,879.8602194515959,8.85219564571139,12.393139572062449,-93.77236234260204,15.929308254003141,59.35794216795913,False
118,39,gaussian,2,730.1264109824804,7.737008741996078,18.257122793046054,-243.50617081171754,14.002090538459008,51.96398331788804,False
119,39,power_law,0,973.6325817941979,6.993404857764858,0.0,0.0,12.026343602002404,46.33323359369938,True
120,40,exponential,1,841.5589252614326,15.0510129474834,14.01196109123434,-129.13840375253426,28.40303422952596,102.26813488363682,False
121,40,gaussian,2,718.359619170975,6.372604644614739,18.09075546224638,-252.3377098429919,11.295061377966686,42.553145181368194,False
